from,to,vote,relation,show,instagram,love,
stdü,aisi,1,1,KdRS,,,
gifa,aisi,1,1,KdRS,,,
delo,anse,2,1,KdRS,,,
jehi,anre,2,1,KdRS,,,
anse,lino,2,1,KdRS,,,
dawe,anse,2,1,KdRS,,,
anre,lino,2,1,KdRS,,,
lino,anre,2,1,KdRS,,,
mase,anse,2,1,KdRS,,,
hasu,anse,2,1,KdRS,,,
caka,anse,1,1,KdRS,,,
anla,anse,1,1,KdRS,,,
chok,dawe,1,1,KdRS,,,
pise,dawe,1,1,KdRS,,,
gifa,mase,2,1,KdRS,,,
caka,hasu,2,1,KdRS,,,
stdü,anre,2,1,KdRS,,,
jehi,mase,2,1,KdRS,,,
anre,stdü,2,1,KdRS,,,
delo,hasu,2,1,KdRS,,,
hasu,mase,2,1,KdRS,,,
mase,hasu,2,1,KdRS,,,
anla,mase,2,1,KdRS,,,
shfi,hasu,1,1,KdRS,,,
maan,hasu,1,1,KdRS,,,
gifa,chok,2,1,KdRS,,,
pise,anla,2,1,KdRS,,,
anre,mase,2,1,KdRS,,,
mase,anre,2,1,KdRS,,,
anla,chok,2,1,KdRS,,,
chok,anla,2,1,KdRS,,,
caka,chok,2,1,KdRS,,,
jehi,mase,2,1,KdRS,,,
stdü,anla,2,1,KdRS,,,
delo,chok,2,1,KdRS,,,
tata,mase,1,1,KdRS,,,
jost,mase,1,1,KdRS,,,
caka,stdü,2,1,KdRS,,,
delo,stdü,2,1,KdRS,,,
gifa,caka,2,1,KdRS,,,
jehi,caka,2,1,KdRS,,,
jost,stdü,2,1,KdRS,,,
maan,caka,2,1,KdRS,,,
pise,delo,2,1,KdRS,,,
stdü,delo,2,1,KdRS,,,
tata,caka,2,1,KdRS,,,
anre,caka,2,1,KdRS,,,
bekl,anre,2,1,KdRS,,,
caka,anre,2,1,KdRS,,,
delo,anre,2,1,KdRS,,,
frfu,caka,2,1,KdRS,,,
gifa,caka,2,1,KdRS,,,
jehi,anre,2,1,KdRS,,,
jost,anre,2,1,KdRS,,,
lale,anre,2,1,KdRS,,,
maan,anre,2,1,KdRS,,,
pise,caka,2,1,KdRS,,,
stdü,caka,2,1,KdRS,,,
tata,caka,2,1,KdRS,,,
bekl,stdü,2,1,KdRS,,,
delo,stdü,2,1,KdRS,,,
frfu,bekl,2,1,KdRS,,,
gifa,stdü,2,1,KdRS,,,
jehi,stdü,2,1,KdRS,,,
jost,stdü,2,1,KdRS,,,
lale,stdü,2,1,KdRS,,,
maan,bekl,2,1,KdRS,,,
pise,bekl,2,1,KdRS,,,
stdü,bekl,2,1,KdRS,,,
tata,stdü,2,1,KdRS,,,
aisi,gifa,2,1,KdRS,,,
anse,gifa,2,1,KdRS,,,
anre,jehi,2,1,KdRS,,,
bekl,maan,2,1,KdRS,,,
caka,jehi,2,1,KdRS,,,
dawe,pise,2,1,KdRS,,,
delo,pise,2,1,KdRS,,,
frfu,jost,2,1,KdRS,,,
gifa,bekl,2,1,KdRS,,,
jehi,pise,2,1,KdRS,,,
jost,jehi,2,1,KdRS,,,
lale,bekl,2,1,KdRS,,,
lino,jehi,2,1,KdRS,,,
maan,bekl,2,1,KdRS,,,
mase,jehi,2,1,KdRS,,,
pise,jehi,2,1,KdRS,,,
shfi,jehi,2,1,KdRS,,,
stdü,jehi,2,1,KdRS,,,
tata,bekl,2,1,KdRS,,,
BR,anla,0,2,KdRS,,,
RP,anre,0,2,KdRS,,,
KIM,bekl,0,2,KdRS,,,
RTM,chok,0,2,KdRS,,,
SG,dawe,0,2,KdRS,,,
R,delo,0,2,KdRS,,,
K3,frfu,0,2,KdRS,,,
AM,hasu,0,2,KdRS,,,
PPA,jost,0,2,KdRS,,,
H,lino,0,2,KdRS,,,
RW,maan,0,2,KdRS,,,
S,mase,0,2,KdRS,,,
H,tata,0,2,KdRS,,,
S&S,pise,0,2,KdRS,,,
caka,lale,,,KdRS,,2,
caka,tata,,,KdRS,,2,
lale,caka,,,KdRS,,2,
tata,caka,,,KdRS,,2,
dawe,hasu,,,KdRS,,2,
hasu,dawe,,,KdRS,,2,
anla,caka,,,,2,,
chok,coci,,,,2,,
chok,caka,,,,2,,
chok,frfu,,,,2,,
caka,fipa,,,,2,,
brpa,dawe,,,,2,,
delo,aisi,,,,2,,
delo,tata,,,,2,1,
tata,delo,,,,2,1,
dawe,delo,,,,2,,
delo,dawe,,,,2,,
garo,delo,,,,2,,
delo,garo,,,,2,,
tata,garo,,,,2,,
garo,tata,,,,2,,
tata,dawe,,,,2,,
dawe,tata,,,,2,,
garo,dawe,,,,2,,
dawe,garo,,,,2,,
hasu,sisa,,,,2,,
jost,tako,,,,2,,
tako,jost,,,,2,,
jost,dibr,,,,2,,
dibr,jost,,,,2,,
jost,rywö,,,,2,,
nagr,lale,,,,2,,
lale,nagr,,,,2,,
stdü,jost,,,,2,,
jost,stdü,,,,2,,
stdü,paro,,,,2,,
stdü,giof,,,,2,,
stdü,frfu,,,,2,,
stdü,tata,,,,2,,
stdü,caka,,,,2,,
stdü,lale,,,,2,,
stdü,umte,,,,2,,
umte,stst,,,,2,,
umte,mace,,,,2,,
mace,umte,,,,2,,
umte,dicv,,,,2,,
dicv,umte,,,,2,,
jost,umte,,,,2,,
umte,jost,,,,2,,
stsc,sigo,,,,2,1,
sigo,stsc,,,,2,1,
hara,mase,,,,2,,
joho,tiho,,,,2,1,
tiho,joho,,,,2,1,
tope,palj,,,,2,1,
palj,tope,,,,2,1,
liba,rywö,,,,2,1,
rywö,liba,,,,2,1,
jioc,liba,,,,2,,
liba,jioc,,,,2,,
jede,makl,,,,2,1,
makl,jede,,,,2,1,
PL,sigo,,2,dShdS,,,
PL,stsc,,2,dShdS,,,
PPM,hara,,2,dShdS,,,
TH,joho,,2,dShdS,,,
TH,tiho,,2,dShdS,,,
KAM,tope,,2,dShdS,,,
KAM,palj,,2,dShdS,,,
R,liba,,2,dShdS,,,
R,rywö,,2,dShdS,,,
BA,edpi,,2,dShdS,,,
R48,mikl,,2,dShdS,,,
S&S,jede,,2,dShdS,,,
NWG,makl,,2,dShdS,,,
FM,paza,,2,dShdS,,,
FM,loma,,2,dShdS,,,
aisi,lino,,,,1,,
anla,anse,,,,1,,
anla,anre,,,,1,,
anla,bekl,,,,1,,
anla,caka,,,,1,,
anla,delo,,,,1,,
anla,gifa,,,,1,,
anla,jost,,,,1,,
anla,lino,,,,1,,
anla,pise,,,,1,,
anla,shfi,,,,1,,
anla,stdü,,,,1,,
anla,tata,,,,1,,
anla,coci,,,,1,,
anla,sabe,,,,1,,
anla,arie,,,,1,,
anla,jeig,,,,1,,
anla,tako,,,,1,,
anse,aisi,,,,1,,
anse,anla,,,,1,,
anse,anre,,,,1,,
anse,caka,,,,1,,
anse,chok,,,,1,,
anse,frfu,,,,1,,
anse,hasu,,,,1,,
anse,jost,,,,1,,
anse,lale,,,,1,,
anse,lino,,,,1,,
anse,maan,,,,1,,
anse,pise,,,,1,,
anse,shfi,,,,1,,
anse,stdü,,,,1,,
anse,nagr,,,,1,,
anre,anla,,,,1,,
anre,anse,,,,1,,
anre,caka,,,,1,,
anre,chok,,,,1,,
anre,delo,,,,1,,
anre,frfu,,,,1,,
anre,gifa,,,,1,,
anre,hasu,,,,1,,
anre,jost,,,,1,,
anre,lale,,,,1,,
anre,lino,,,,1,,
anre,maan,,,,1,,
anre,pise,,,,1,,
anre,shfi,,,,1,,
anre,stdü,,,,1,,
anre,tata,,,,1,,
anre,gisi,,,,1,,
anre,coci,,,,1,,
anre,lubi,,,,1,,
anre,giof,,,,1,,
anre,mimo,,,,1,,
anre,hakr,,,,1,,
anre,hufe,,,,1,,
bekl,anla,,,,1,,
bekl,anse,,,,1,,
bekl,anre,,,,1,,
bekl,caka,,,,1,,
bekl,chok,,,,1,,
bekl,dawe,,,,1,,
bekl,delo,,,,1,,
bekl,frfu,,,,1,,
bekl,hasu,,,,1,,
bekl,jehi,,,,1,,
bekl,jost,,,,1,,
bekl,lino,,,,1,,
bekl,shfi,,,,1,,
bekl,stdü,,,,1,,
bekl,tata,,,,1,,
bekl,stsc,,,,1,,
bekl,mikl,,,,1,,
bekl,jede,,,,1,,
bekl,sarja,,,,1,,
bekl,ersi,,,,1,,
bekl,coci,,,,1,,
bekl,jioc,,,,1,,
bekl,stst,,,,1,,
bekl,umte,,,,1,,
caka,aisi,,,,1,,
caka,anla,,,,1,,
caka,anse,,,,1,,
caka,anre,,,,1,,
caka,bekl,,,,1,,
caka,delo,,,,1,,
caka,gifa,,,,1,,
caka,hasu,,,,1,,
caka,jehi,,,,1,,
caka,jost,,,,1,,
caka,lino,,,,1,,
caka,pise,,,,1,,
caka,shfi,,,,1,,
caka,stdü,,,,1,,
caka,tope,,,,1,,
caka,palj,,,,1,,
caka,edpi,,,,1,,
caka,mikl,,,,1,,
caka,lubi,,,,1,,
caka,sasi,,,,1,,
caka,lamo,,,,1,,
caka,inki,,,,1,,
caka,kenj,,,,1,,
caka,cast,,,,1,,
caka,olgi,,,,1,,
caka,stst,,,,1,,
caka,umte,,,,1,,
caka,tako,,,,1,,
chok,anse,,,,1,,
chok,anre,,,,1,,
chok,bekl,,,,1,,
chok,frfu,,,,1,,
chok,jost,,,,1,,
chok,maan,,,,1,,
chok,pise,,,,1,,
chok,stdü,,,,1,,
chok,stsc,,,,1,,
chok,palj,,,,1,,
chok,mikl,,,,1,,
chok,jede,,,,1,,
chok,makl,,,,1,,
chok,saja,,,,1,,
chok,ersi,,,,1,,
chok,coci,,,,1,,
chok,sabe,,,,1,,
chok,lamo,,,,1,,
chok,bekl,,,,1,,
chok,umte,,,,1,,
chok,evbe,,,,1,,
dawe,delo,,,,1,,
dawe,frfu,,,,1,,
dawe,jehi,,,,1,,
dawe,tata,,,,1,,
dawe,mikl,,,,1,,
dawe,tikü,,,,1,,
dawe,jioc,,,,1,,
delo,aisi,,,,1,,
delo,anla,,,,1,,
delo,anre,,,,1,,
delo,caka,,,,1,,
delo,dawe,,,,1,,
delo,gifa,,,,1,,
delo,jehi,,,,1,,
delo,jost,,,,1,,
delo,lino,,,,1,,
delo,maan,,,,1,,
delo,tata,,,,1,,
delo,joho,,,,1,,
delo,palj,,,,1,,
